UserINode,UserJNode,INode,JNode,I_Z,J_Z,Max Drift X,Max Drift Y,Series,LoadCase
3,4,4,21,-5,0,0.0221451,0.018135,Level3,gm10RSN1119_KOBE_TAZ000
3,4,4,21,-5,0,0.00575442,0.00704322,Level3,gm11RSN1528_CHICHI_TCU101-E
3,4,4,21,-5,0,0.0111733,0.00754249,Level3,gm1RSN6_IMPVALL.I_I-ELC180
3,4,4,21,-5,0,0.00701097,0.00617293,Level3,gm2RSN4458_MONTENE.GRO_ULO000
3,4,4,21,-5,0,0.00736195,0.0105481,Level3,gm3RSN165_IMPVALL.H_H-CHI012
3,4,4,21,-5,0,0.0183055,0.00864563,Level3,gm4RSN723_SUPER.B_B-PTS225
3,4,4,21,-5,0,0.0175709,0.011051,Level3,gm5RSN779_LOMAP_LGP000
3,4,4,21,-5,0,0.0145814,0.0200765,Level3,gm6RSN828_CAPEMEND_PET000
3,4,4,21,-5,0,0.0218748,0.0162179,Level3,gm7RSN1086_NORTHR_SYL090
3,4,4,21,-5,0,0.0110628,0.00676705,Level3,gm8RSN949_NORTHR_ARL090
3,4,4,21,-5,0,0.0231349,0.0247335,Level3,gm9RSN1120_KOBE_TAK000
3,4,4,21,-5,0,0.0300402,0.028366,Level4,gm10RSN1119_KOBE_TAZ000
3,4,4,21,-5,0,0.00910411,0.0111184,Level4,gm11RSN1528_CHICHI_TCU101-E
3,4,4,21,-5,0,0.0176503,0.0119012,Level4,gm1RSN6_IMPVALL.I_I-ELC180
3,4,4,21,-5,0,0.0110849,0.00974208,Level4,gm2RSN4458_MONTENE.GRO_ULO000
3,4,4,21,-5,0,0.0116382,0.0166507,Level4,gm3RSN165_IMPVALL.H_H-CHI012
3,4,4,21,-5,0,0.0237513,0.013579,Level4,gm4RSN723_SUPER.B_B-PTS225
3,4,4,21,-5,0,0.0236878,0.0177186,Level4,gm5RSN779_LOMAP_LGP000
3,4,4,21,-5,0,0.0202635,0.0279543,Level4,gm6RSN828_CAPEMEND_PET000
3,4,4,21,-5,0,0.0327159,0.026047,Level4,gm7RSN1086_NORTHR_SYL090
3,4,4,21,-5,0,0.0174834,0.0106855,Level4,gm8RSN949_NORTHR_ARL090
3,4,4,21,-5,0,0.0354989,0.0321706,Level4,gm9RSN1120_KOBE_TAK000
3,4,4,21,-5,0,0.0284256,0.0301686,Level5,gm10RSN1119_KOBE_TAZ000
3,4,4,21,-5,0,0.0124532,0.0151931,Level5,gm11RSN1528_CHICHI_TCU101-E
